ticker,as_of_date,net_buy,total_buy_votes,total_sell_votes,entry_price,exit_price,status,days_to_exit,entry_touched
BRLS,2026-04-07,False,0,4,1.43,1.46,missed,,True
BRLS,2026-04-17,False,1,2,0.94,1.4,missed,,True
BRLS,2026-04-27,False,2,3,0.97,1.5,missed,,False
BRLS,2026-05-07,False,2,2,1.43,1.56,missed,,True
BRLS,2026-05-17,False,2,2,1.36,1.8,missed,,False
BRLS,2026-05-27,True,5,0,1.44,1.47,missed,,False
BRLS,2026-06-06,True,5,0,1.57,2.05,missed,,True
BRLS,2026-06-16,False,1,6,1.16,1.35,hit,1.0,True
BRLS,2026-06-26,True,5,0,1.34,1.6,missed,,True
BXC,2026-03-28,False,1,3,49.99,63.0,missed,,False
BXC,2026-04-07,False,1,3,50.16,51.42,missed,,False
BXC,2026-04-17,True,3,1,57.3,69.0,missed,,True
BXC,2026-04-27,False,2,2,56.62,56.67,missed,,True
BXC,2026-05-07,False,1,2,52.86,54.48,missed,,True
BXC,2026-05-17,False,0,4,49.68,50.55,hit,5.0,True
BXC,2026-05-27,False,2,2,49.23,65.0,missed,,False
BXC,2026-06-06,False,1,3,50.25,50.84,missed,,False
BXC,2026-06-16,True,2,1,54.97,56.23,hit,2.0,True
BXC,2026-06-26,True,7,0,62.0,71.81,missed,,True
CLGN,2026-03-28,True,3,2,0.62,0.64,missed,,True
CLGN,2026-04-07,False,1,6,0.36,0.64,missed,,True
CLGN,2026-04-17,False,2,3,0.34,0.36,missed,,False
CLGN,2026-04-27,False,2,2,0.4,0.42,missed,,True
CLGN,2026-05-07,False,2,2,0.39,0.4,missed,,False
CLGN,2026-05-17,True,4,1,0.41,0.5,missed,,False
CLGN,2026-05-27,False,2,2,0.4,0.42,missed,,False
CLGN,2026-06-06,False,0,5,0.37,0.4,missed,,True
CLGN,2026-06-16,False,0,4,0.33,0.34,missed,,False
CLGN,2026-06-26,False,0,3,0.33,0.35,missed,,False
DULL,2026-03-28,False,2,2,39.0,58.58,missed,,False
DULL,2026-04-07,False,0,3,50.84,51.58,missed,,True
DULL,2026-04-17,False,1,2,46.29,48.86,missed,,False
DULL,2026-04-27,False,2,2,50.98,56.66,missed,,False
DULL,2026-05-07,False,0,5,50.12,53.67,missed,,True
DULL,2026-05-17,True,4,2,55.2,61.5,missed,,False
DULL,2026-05-27,True,3,1,55.2,61.5,missed,,False
DULL,2026-06-06,True,6,0,58.94,67.0,missed,,False
DULL,2026-06-16,True,3,1,58.44,62.23,missed,,False
DULL,2026-06-26,True,5,1,72.38,74.5,missed,,True
ENVB,2026-03-28,False,1,3,1.88,1.95,hit,2.0,True
ENVB,2026-04-07,False,1,3,1.95,1.98,missed,,False
ENVB,2026-04-17,False,1,4,1.82,2.12,missed,,False
ENVB,2026-04-27,True,5,1,4.86,5.44,missed,,True
ENVB,2026-05-07,False,1,2,3.17,3.29,missed,,True
ENVB,2026-05-17,False,1,3,2.25,3.12,missed,,True
ENVB,2026-05-27,False,1,3,2.13,2.18,missed,,True
ENVB,2026-06-06,False,0,4,1.8,2.19,missed,,True
ENVB,2026-06-16,False,0,3,1.37,1.63,missed,,True
ENVB,2026-06-26,False,2,2,1.39,2.35,missed,,True
EPEM,2026-03-28,False,0,4,24.49,25.3,missed,,True
EPEM,2026-04-07,False,2,3,25.0,27.64,missed,,False
EPEM,2026-04-17,True,4,0,27.07,30.42,missed,,False
EPEM,2026-04-27,True,4,1,27.07,28.0,missed,,False
EPEM,2026-05-07,True,5,1,28.4,32.05,missed,,False
EPEM,2026-05-17,False,3,4,27.07,28.4,missed,,False
EPEM,2026-05-27,True,2,1,29.26,32.71,missed,,False
EPEM,2026-06-06,False,2,2,28.39,28.49,hit,1.0,True
EPEM,2026-06-16,True,3,2,29.57,29.86,missed,,True
EPEM,2026-06-26,True,4,1,28.78,29.1,hit,5.0,True
ERO,2026-03-28,False,1,4,24.94,25.19,missed,,False
ERO,2026-04-07,False,2,2,25.6,29.5,missed,,False
ERO,2026-04-17,False,1,3,28.35,29.32,missed,,True
ERO,2026-04-27,False,1,2,27.38,28.35,missed,,True
ERO,2026-05-07,False,0,3,26.14,27.49,missed,,False
ERO,2026-05-17,False,1,2,26.2,27.6,missed,,False
ERO,2026-05-27,False,2,3,27.2,28.38,missed,,False
ERO,2026-06-06,False,1,5,25.78,27.17,missed,,False
ERO,2026-06-16,True,3,1,29.62,30.61,missed,,True
ERO,2026-06-26,False,0,3,26.57,30.35,missed,,True
EXFY,2026-03-28,False,0,4,0.78,0.84,missed,,False
EXFY,2026-04-07,False,1,4,0.83,0.85,hit,4.0,True
EXFY,2026-04-17,False,2,2,0.87,0.98,missed,,False
EXFY,2026-04-27,True,4,0,0.9,1.06,missed,,False
EXFY,2026-05-07,True,5,0,1.11,1.13,hit,4.0,True
EXFY,2026-05-17,True,4,0,1.13,1.14,hit,5.0,True
EXFY,2026-05-27,True,5,2,1.13,1.14,missed,,False
EXFY,2026-06-06,True,4,2,1.14,1.15,missed,,False
EXFY,2026-06-16,True,4,1,1.13,1.26,missed,,False
EXFY,2026-06-26,True,6,0,1.55,1.75,missed,,False
FIGS,2026-03-28,False,2,2,14.67,14.93,missed,,True
FIGS,2026-04-07,False,2,2,13.5,14.44,hit,1.0,True
FIGS,2026-04-17,True,4,0,14.7,20.5,missed,,False
FIGS,2026-04-27,True,4,1,15.61,15.72,missed,,True
FIGS,2026-05-07,True,3,1,15.33,20.25,missed,,True
FIGS,2026-05-17,False,0,4,11.63,11.78,hit,2.0,True
FIGS,2026-05-27,False,1,3,12.08,16.75,missed,,True
FIGS,2026-06-06,False,2,2,11.71,12.02,hit,5.0,True
FIGS,2026-06-16,False,2,3,11.98,13.0,missed,,True
FIGS,2026-06-26,False,2,3,11.59,11.76,missed,,True
GILT,2026-03-28,False,0,5,15.39,16.47,hit,4.0,True
GILT,2026-04-07,True,5,0,17.0,20.27,missed,,False
GILT,2026-04-17,True,4,0,18.77,21.09,missed,,True
GILT,2026-04-27,True,3,1,17.37,18.31,hit,3.0,True
GILT,2026-05-07,True,3,1,18.33,18.86,missed,,True
GILT,2026-05-17,False,0,4,15.19,15.29,hit,2.0,True
GILT,2026-05-27,False,1,2,17.05,17.56,missed,,True
GILT,2026-06-06,False,0,4,14.52,17.05,missed,,True
GILT,2026-06-16,False,0,4,13.55,13.75,missed,,True
GILT,2026-06-26,False,0,4,11.81,13.75,missed,,False
MGTX,2026-03-28,True,2,1,7.54,7.76,missed,,False
MGTX,2026-04-07,True,4,1,9.2,10.46,hit,5.0,True
MGTX,2026-04-17,True,7,0,9.93,10.3,missed,,True
MGTX,2026-04-27,False,2,2,9.13,9.15,hit,3.0,True
MGTX,2026-05-07,False,2,2,9.6,9.8,missed,,False
MGTX,2026-05-17,False,1,3,9.4,9.73,missed,,True
MGTX,2026-05-27,True,3,1,9.66,12.5,missed,,True
MGTX,2026-06-06,False,0,4,9.0,9.24,hit,3.0,True
MGTX,2026-06-16,False,2,2,9.56,12.0,missed,,False
MGTX,2026-06-26,True,7,0,12.09,12.25,missed,,False
MITK,2026-03-28,False,0,4,13.1,14.03,missed,,False
