ticker,as_of_date,net_buy,total_buy_votes,total_sell_votes,entry_price,exit_price,status,days_to_exit,entry_touched
FIGS,2026-03-28,False,2,2,14.57,15.81,missed,,True
FIGS,2026-04-07,False,2,2,12.58,14.88,missed,,False
FIGS,2026-04-17,True,4,0,15.3,16.58,missed,,False
FIGS,2026-04-27,True,4,1,15.33,17.27,missed,,True
FIGS,2026-05-07,True,3,1,14.24,20.25,missed,,True
FIGS,2026-05-17,False,0,4,11.76,12.24,hit,3.0,True
FIGS,2026-05-27,False,1,3,12.64,13.01,missed,,True
FIGS,2026-06-06,False,2,2,11.48,12.0,hit,5.0,True
FIGS,2026-06-16,False,2,3,12.09,12.64,missed,,True
FIGS,2026-06-26,False,2,3,10.75,11.73,missed,,True
GILT,2026-03-28,False,0,5,15.39,17.02,hit,4.0,True
GILT,2026-04-07,True,5,0,17.0,18.7,missed,,False
GILT,2026-04-17,True,4,0,18.28,19.42,missed,,True
GILT,2026-04-27,True,3,1,17.12,17.73,hit,3.0,True
GILT,2026-05-07,True,3,1,18.76,20.16,missed,,True
GILT,2026-05-17,False,0,4,14.74,16.58,missed,,False
GILT,2026-05-27,False,1,2,16.93,18.54,missed,,True
GILT,2026-06-06,False,0,4,14.05,16.49,missed,,True
GILT,2026-06-16,False,0,4,12.85,15.47,missed,,True
GILT,2026-06-26,False,0,4,11.58,12.08,missed,,False
MGTX,2026-03-28,True,2,1,7.11,8.0,missed,,False
MGTX,2026-04-07,True,4,1,9.15,9.88,hit,5.0,True
MGTX,2026-04-17,True,7,0,9.75,10.73,missed,,True
MGTX,2026-04-27,False,2,2,8.98,9.5,hit,5.0,True
MGTX,2026-05-07,False,2,2,9.65,10.14,missed,,False
MGTX,2026-05-17,False,1,3,9.21,10.24,missed,,True
MGTX,2026-05-27,True,3,1,9.37,9.9,missed,,True
MGTX,2026-06-06,False,0,4,8.81,9.8,missed,,False
MGTX,2026-06-16,False,2,2,9.55,9.95,missed,,False
MGTX,2026-06-26,True,7,0,11.25,12.25,missed,,False
MITK,2026-03-28,False,0,4,12.93,14.07,missed,,False
MITK,2026-04-07,False,1,3,13.55,13.86,missed,,False
MITK,2026-04-17,True,6,0,14.25,15.92,missed,,True
MITK,2026-04-27,False,1,3,13.96,14.46,hit,4.0,True
MITK,2026-05-07,True,3,0,14.93,15.55,missed,,True
MITK,2026-05-17,True,2,1,13.27,14.34,missed,,False
MITK,2026-05-27,True,5,0,16.0,17.51,missed,,False
MITK,2026-06-06,False,2,3,14.89,16.25,missed,,False
MITK,2026-06-16,True,5,0,16.34,17.16,missed,,False
MITK,2026-06-26,True,5,0,17.5,21.22,missed,,False
PBH,2026-03-28,False,0,4,58.45,61.29,missed,,True
PBH,2026-04-07,False,1,4,52.48,56.55,missed,,False
PBH,2026-04-17,False,1,3,56.56,58.35,missed,,False
PBH,2026-04-27,True,4,2,57.36,59.0,missed,,True
PBH,2026-05-07,False,0,5,52.8,56.11,missed,,True
PBH,2026-05-17,False,2,5,43.01,48.45,missed,,False
PBH,2026-05-27,True,3,2,47.48,48.58,missed,,True
PBH,2026-06-06,False,1,3,44.51,48.07,missed,,False
PBH,2026-06-16,False,2,3,45.72,48.56,missed,,True
PBH,2026-06-26,True,6,1,46.22,50.0,missed,,False
QTPI,2026-03-28,False,0,6,24.85,25.0,missed,,False
QTPI,2026-04-07,False,2,3,25.06,25.21,missed,,False
QTPI,2026-04-17,True,5,1,25.26,25.43,missed,,False
QTPI,2026-04-27,True,4,0,25.32,25.48,missed,,True
QTPI,2026-05-07,False,2,3,25.37,25.47,missed,,True
QTPI,2026-05-17,False,1,3,25.22,25.5,missed,,False
QTPI,2026-05-27,True,4,1,25.32,28.01,missed,,False
QTPI,2026-06-06,False,1,4,25.21,25.52,missed,,False
QTPI,2026-06-16,True,4,2,25.38,25.54,missed,,True
QTPI,2026-06-26,True,4,1,25.3,25.49,missed,,False
QTWO,2026-03-28,False,0,6,45.0,47.49,missed,,False
QTWO,2026-04-07,True,4,1,47.58,49.52,missed,,True
QTWO,2026-04-17,True,4,0,50.46,52.34,missed,,True
QTWO,2026-04-27,False,1,3,47.95,50.22,missed,,False
QTWO,2026-05-07,True,2,1,48.32,51.13,missed,,True
QTWO,2026-05-17,False,0,4,44.37,45.89,missed,,False
QTWO,2026-05-27,False,0,4,44.43,45.98,missed,,False
QTWO,2026-06-06,False,1,2,44.13,46.29,missed,,True
QTWO,2026-06-16,False,1,3,43.08,45.15,missed,,True
QTWO,2026-06-26,True,4,1,43.5,47.91,missed,,False
RILYL,2026-03-28,True,4,1,11.72,12.79,missed,,False
RILYL,2026-04-07,True,5,0,11.74,12.79,missed,,False
RILYL,2026-04-17,True,4,1,11.99,12.43,missed,,False
RILYL,2026-04-27,False,2,3,11.44,12.48,missed,,False
RILYL,2026-05-07,True,4,1,14.75,16.15,missed,,False
RILYL,2026-05-17,True,5,0,15.19,15.81,missed,,False
RILYL,2026-05-27,True,4,1,17.06,17.44,missed,,True
RILYL,2026-06-06,True,3,1,16.47,17.67,missed,,True
RILYL,2026-06-16,True,4,1,16.08,16.99,missed,,True
RILYL,2026-06-26,False,0,5,13.96,15.72,missed,,False
SES,2026-03-28,False,0,5,0.97,1.05,missed,,True
SES,2026-04-07,False,0,5,0.95,1.04,missed,,False
SES,2026-04-17,True,5,1,1.11,1.26,missed,,False
SES,2026-04-27,False,1,3,0.99,1.3,missed,,False
SES,2026-05-07,False,0,4,0.92,0.97,missed,,False
SES,2026-05-17,True,3,1,1.02,1.14,hit,3.0,True
SES,2026-05-27,True,4,0,1.22,1.3,missed,,False
SES,2026-06-06,True,3,1,1.17,1.39,missed,,True
SES,2026-06-16,False,1,3,1.0,1.15,missed,,True
SES,2026-06-26,False,1,4,0.84,0.94,missed,,False
SLN,2026-03-28,False,0,4,4.81,5.45,missed,,False
SLN,2026-04-07,True,3,2,5.56,6.06,missed,,False
SLN,2026-04-17,True,5,0,7.2,7.86,missed,,False
SLN,2026-04-27,True,5,0,7.55,7.87,missed,,True
SLN,2026-05-07,False,2,2,6.81,7.53,missed,,True
SLN,2026-05-17,False,2,3,6.1,7.27,missed,,True
SLN,2026-05-27,True,3,1,6.35,6.82,missed,,False
SLN,2026-06-06,False,0,5,6.0,7.09,missed,,True
SLN,2026-06-16,True,2,1,6.57,7.13,missed,,False
SLN,2026-06-26,True,8,0,10.0,10.41,missed,,False
TCPC,2026-03-28,False,0,5,3.25,3.53,missed,,False
TCPC,2026-04-07,True,3,2,3.44,3.66,missed,,False
TCPC,2026-04-17,True,5,0,3.96,4.2,missed,,True
TCPC,2026-04-27,True,3,1,3.9,4.0,missed,,False
TCPC,2026-05-07,True,4,0,4.09,4.21,missed,,True
TCPC,2026-05-17,True,2,1,3.88,4.16,missed,,True
TCPC,2026-05-27,False,2,3,3.48,3.6,missed,,False
TCPC,2026-06-06,False,1,3,3.51,3.66,missed,,True
TCPC,2026-06-16,False,1,4,3.37,3.55,missed,,True
TCPC,2026-06-26,False,1,4,3.08,3.26,missed,,False
TJAN,2026-03-28,False,0,7,26.91,27.0,hit,1.0,True
TJAN,2026-04-07,False,2,2,27.21,27.23,missed,,False
TJAN,2026-04-17,True,5,0,27.68,30.54,missed,,False
TJAN,2026-04-27,True,6,0,27.76,30.55,missed,,True
TJAN,2026-05-07,True,6,0,27.92,30.71,missed,,False
TJAN,2026-05-17,True,4,2,27.98,28.0,hit,2.0,True
TJAN,2026-05-27,True,4,0,28.03,28.05,missed,,False
TJAN,2026-06-06,True,4,1,27.9,28.1,missed,,False
TJAN,2026-06-16,True,6,0,28.12,30.98,missed,,True
TJAN,2026-06-26,True,5,0,28.04,28.7,missed,,False
UI,2026-03-28,True,4,1,756.51,815.17,missed,,False
UI,2026-04-07,True,2,1,830.66,849.16,missed,,False
UI,2026-04-17,True,6,0,996.6,1084.46,missed,,False
UI,2026-04-27,True,4,2,1000.72,1050.0,missed,,True
UI,2026-05-07,True,3,2,925.5,996.0,missed,,True
UI,2026-05-17,False,0,5,615.41,682.58,missed,,True
UI,2026-05-27,False,1,4,592.41,622.5,missed,,True
UI,2026-06-06,False,0,4,565.38,590.85,missed,,True
UI,2026-06-16,False,0,4,548.12,590.0,missed,,False
UI,2026-06-26,False,0,6,517.8,557.31,missed,,False
VUZI,2026-03-28,False,1,3,2.16,2.4,missed,,False
VUZI,2026-04-07,False,1,3,2.31,2.55,missed,,False
VUZI,2026-04-17,True,3,2,2.57,2.67,missed,,True
VUZI,2026-04-27,False,0,4,2.29,2.51,missed,,False
VUZI,2026-05-07,True,4,0,2.8,2.97,missed,,False
VUZI,2026-05-17,True,4,1,2.98,3.17,missed,,False
VUZI,2026-05-27,True,4,1,4.46,5.25,missed,,True
VUZI,2026-06-06,True,3,1,2.9,4.38,missed,,False
VUZI,2026-06-16,False,2,2,3.24,3.58,missed,,True
VUZI,2026-06-26,False,0,4,2.66,2.86,missed,,False
WSR,2026-03-28,True,3,1,15.81,16.16,missed,,False
WSR,2026-04-07,True,6,0,16.33,16.62,missed,,False
WSR,2026-04-17,True,5,0,18.77,18.81,missed,,False
WSR,2026-04-27,True,3,2,18.76,18.84,missed,,False
WSR,2026-05-07,True,4,1,18.79,18.85,missed,,False
WSR,2026-05-17,True,3,1,18.84,18.86,missed,,True
WSR,2026-05-27,True,5,0,18.82,18.86,missed,,False
WSR,2026-06-06,True,4,0,18.89,18.93,missed,,False
WSR,2026-06-16,True,4,0,18.92,18.94,missed,,False
WSR,2026-06-26,True,5,0,18.93,18.97,missed,,False
