ticker,as_of_date,net_buy,total_buy_votes,total_sell_votes,entry_price,exit_price,status,days_to_exit,entry_touched
BRLS,2026-06-14,False,2,2,1.35,1.46,missed,,True
BRLS,2026-06-21,False,1,4,1.21,1.42,missed,,False
BRLS,2026-06-28,True,5,0,1.5,1.6,missed,,True
BTI,2025-12-28,True,3,1,54.94,55.11,missed,,True
BTI,2026-01-04,False,2,2,54.91,55.18,missed,,True
BTI,2026-01-11,True,3,1,53.65,56.25,hit,3.0,True
BTI,2026-01-18,True,4,0,56.6,56.72,hit,3.0,True
BTI,2026-01-25,True,4,0,57.51,63.26,missed,,True
BTI,2026-02-01,True,5,0,58.99,59.1,hit,1.0,True
BTI,2026-02-08,True,5,0,61.05,67.16,missed,,True
BTI,2026-02-15,True,3,1,57.84,59.57,hit,3.0,True
BTI,2026-02-22,True,3,1,60.35,65.5,missed,,True
BTI,2026-03-01,True,3,1,60.9,61.23,missed,,True
BTI,2026-03-08,False,1,2,56.26,57.74,missed,,False
BTI,2026-03-15,False,2,2,57.57,58.63,missed,,True
BTI,2026-03-22,False,0,4,55.77,57.46,missed,,False
BTI,2026-03-29,False,1,2,56.38,57.01,missed,,False
BTI,2026-04-05,True,2,1,57.48,57.86,hit,1.0,True
BTI,2026-04-12,True,2,1,58.0,58.61,missed,,True
BTI,2026-04-19,False,1,3,55.02,55.97,hit,3.0,True
BTI,2026-04-26,False,1,2,56.05,59.5,missed,,False
BTI,2026-05-03,True,3,0,57.9,58.29,hit,1.0,True
BTI,2026-05-10,False,2,2,57.08,57.65,missed,,False
BTI,2026-05-17,True,3,1,64.2,66.35,missed,,True
BTI,2026-05-24,True,4,1,64.46,65.5,missed,,True
BTI,2026-05-31,False,2,2,60.94,62.72,missed,,True
BTI,2026-06-07,True,3,1,58.9,65.5,missed,,True
BTI,2026-06-14,True,3,1,61.47,68.0,missed,,True
BTI,2026-06-21,False,1,3,58.1,59.4,missed,,False
BTI,2026-06-28,True,5,0,61.9,61.91,missed,,True
BUYO,2025-12-28,True,2,1,28.32,29.3,missed,,True
BUYO,2026-01-04,False,2,2,27.81,29.3,missed,,False
BUYO,2026-01-11,True,6,0,28.96,29.5,hit,3.0,True
BUYO,2026-01-18,True,5,1,29.29,29.5,hit,2.0,True
BUYO,2026-01-25,True,4,1,29.29,29.61,missed,,True
BUYO,2026-02-01,False,2,2,28.7,29.09,hit,4.0,True
BUYO,2026-02-08,True,3,1,29.28,30.6,missed,,True
BUYO,2026-02-15,True,4,0,29.15,29.8,missed,,True
BUYO,2026-02-22,True,5,0,29.55,30.5,missed,,True
BUYO,2026-03-01,True,3,1,29.42,29.84,missed,,True
