ticker,as_of_date,entry_price,stop_price,target_price,status,days_to_exit
IMTE,2026-01-19,0.6571,0.5,0.7228,hit,1.0
IQI,2026-02-09,10.08,9.97,11.088,missed,
JCE,2026-04-27,16.12,15.69,17.732,missed,
JNEU,2026-01-26,30.7757,29.8954,33.8533,missed,
JPC,2026-04-27,7.97,7.85,8.767,missed,
KEQU,2026-01-19,40.41,37.13,44.451,missed,
KF,2025-12-29,36.79,34.032,40.469,missed,
KLAC,2026-01-05,134.897,121.096,148.3867,missed,
KLAC,2026-01-12,142.45,130.583,156.695,missed,
KLAC,2026-06-01,194.004,169.028,213.4044,missed,
KLAC,2026-06-08,210.806,169.028,231.8866,hit,3.0
KPRX,2026-06-01,2.805,2.47,3.0855,missed,
KYN,2026-01-19,12.59,11.87,13.849,missed,
KYN,2026-01-26,12.69,12.28,13.959,missed,
LCUT,2026-05-18,7.87,5.45,8.657,hit,4.0
LDRC,2026-06-01,25.23,25.0,27.753,missed,
LE,2026-01-26,18.76,14.0,20.636,missed,
LE,2026-02-09,18.6,16.61,20.46,missed,
LEA,2026-01-05,120.91,114.33,133.001,missed,
LEVI,2026-04-06,19.65,17.72,21.615,hit,2.0
LEVI,2026-06-15,24.05,22.24,26.455,missed,
LIF,2026-06-01,48.14,37.65,52.954,missed,
LST,2026-01-26,42.2387,41.08,46.4626,missed,
LST,2026-02-16,43.0,41.31,47.3,missed,
LSTA,2026-03-09,5.03,1.81,5.533,missed,
LSTA,2026-05-04,3.35,2.75,3.685,missed,
LSTA,2026-05-11,3.26,2.75,3.586,missed,
LSTA,2026-06-01,3.58,3.02,3.938,missed,
LZM,2026-01-05,4.73,4.155,5.203,hit,5.0
LZMH,2026-04-06,34.2,21.4,37.62,missed,
MAMA,2026-04-13,15.87,14.71,17.457,stopped,3.0
MAMA,2026-05-18,15.42,12.85,16.962,missed,
MITN,2026-01-26,25.6184,24.99,28.1802,missed,
MIY,2026-02-02,12.42,11.62,13.662,missed,
MLR,2026-02-02,41.95,40.0,46.145,missed,
MMM,2026-01-05,163.55,159.06,179.905,missed,
MMM,2026-01-12,167.94,161.05,184.734,stopped,5.0
MMM,2026-05-18,152.53,141.39,167.783,missed,
MMSI,2026-04-13,70.57,66.51,77.627,missed,
MMSI,2026-05-25,64.17,59.74,70.587,missed,
MMSI,2026-06-08,66.03,60.015,72.633,missed,
MPLX,2026-02-16,56.83,54.36,62.513,missed,
MPLX,2026-05-25,56.47,54.22,62.117,missed,
MX,2026-01-19,3.03,2.7245,3.333,missed,
MX,2026-04-13,3.07,2.665,3.377,missed,
NERV,2026-02-02,4.68,3.75,5.148,hit,5.0
NERV,2026-02-09,5.65,3.98,6.215,hit,1.0
NEU,2026-04-13,659.18,580.03,725.098,missed,
NGNE,2026-06-08,28.6,26.12,31.46,missed,
NIO,2025-12-29,5.34,4.85,5.874,stopped,5.0
NNE,2026-01-19,35.67,23.61,39.237,missed,
NNE,2026-05-11,28.35,21.77,31.185,missed,
NNOX,2026-01-19,3.15,2.885,3.465,missed,
NRGV,2026-03-16,3.46,2.89,3.806,missed,
NRGV,2026-05-11,5.04,4.08,5.544,hit,2.0
NUTX,2025-12-29,183.88,162.5901,202.268,stopped,3.0
NUTX,2026-04-13,106.27,89.2,116.897,missed,
NXDT,2026-01-26,4.65,3.68,5.115,missed,
NYT,2026-01-26,72.85,69.91,80.135,missed,
ONCHU,2026-06-08,10.37,10.3,11.407,missed,
ONCY,2026-04-13,1.05,0.78,1.155,missed,
ONEG,2026-01-26,3.27,1.9301,3.597,hit,1.0
OTIS,2026-06-15,71.81,69.27,78.991,missed,
PAR,2026-04-20,14.58,13.28,16.038,missed,
PAR,2026-05-11,15.39,12.9,16.929,missed,
PAYC,2026-05-11,138.44,121.28,152.284,missed,
PAYC,2026-06-01,148.58,131.5,163.438,missed,
PDSB,2026-04-06,0.7804,0.5068,0.8584,hit,1.0
PESI,2026-01-12,14.68,12.5,16.148,missed,
PESI,2026-01-19,14.82,12.5,16.302,missed,
PESI,2026-01-26,14.95,12.5,16.445,missed,
POET,2026-03-02,6.91,5.31,7.601,missed,
POET,2026-04-20,8.59,4.87,9.449,hit,1.0
PUBM,2026-04-06,8.5,7.73,9.35,missed,
PUBM,2026-05-25,10.36,9.37,11.396,hit,2.0
QBF,2026-05-11,19.4175,17.92,21.3593,missed,
QCJA,2026-01-19,22.19,22.1,24.409,stopped,1.0
QDVO,2026-04-13,28.16,25.7501,30.976,missed,
QMAG,2026-05-25,25.14,22.64,27.654,missed,
QMAG,2026-06-08,25.16,24.98,27.676,stopped,2.0
QMMY,2026-01-26,25.26,24.97,27.786,missed,
RAY,2026-01-12,2.64,1.77,2.904,hit,1.0
